38.96, 3.636660466323485e-05, 3.47954852849995e-05, 3.746326512955833e-05, 3.92954852849995e-05, 3.948880621764647e-05, 4.10143473057346e-05, 4.211218295338207e-05, 2.558664186529394e-05, 3.2578787616616924e-05, 4.897878761661692e-05, 4.1388806217646467e-05, 3.686660466323485e-05, 3.803772404147021e-05, 3.933988839382273e-05, 4.078212715029343e-05, 4.200766823838157e-05, 4.205658606220531e-05, 4.561768683941111e-05, 2.953438450779369e-05, 3.217996279794091e-05, 4.699882481867601e-05, 4.616660466323485e-05, 4.261618116958866e-05, 4.261618116958866e-05, 3.880823851628937e-05, 3.880823851628937e-05, 4.1905503886029045e-05, 4.232436590676415e-05, 2.7222201554411617e-05, 2.6228880621764648e-05, 3.989214575132298e-05, 3.730550388602904e-05
28.25, 3.002303673773014e-05, 2.8627711372973337e-05, 3.112303673773014e-05, 3.269749446313547e-05, 3.2783470557405874e-05, 3.327879592216267e-05, 3.372520583610881e-05, 2.1976626823784004e-05, 2.558347055740587e-05, 3.9778795922162675e-05, 3.454390437708161e-05, 3.1053253647568006e-05, 3.1688145192649074e-05, 3.160901283200054e-05, 3.2448579012324806e-05, 3.379966356151414e-05, 3.4413687467243747e-05, 3.549966356151414e-05, 2.563238600821654e-05, 2.8597494463135473e-05, 3.8050748110703475e-05, 3.9153253647568006e-05, 3.627879592216267e-05, 3.627879592216267e-05, 3.44626029180544e-05, 3.44626029180544e-05, 3.548347055740587e-05, 3.590901283200054e-05, 2.3762602918054407e-05, 2.3097494463135475e-05, 3.239966356151414e-05, 3.1188145192649075e-05
19.86, 2.6847313430219308e-05, 2.5329034237329732e-05, 2.731075504444016e-05, 2.944946443910734e-05, 2.894946443910734e-05, 2.901075504444016e-05, 2.8133336255105797e-05, 1.9806453026664095e-05, 2.1510755044440157e-05, 3.614731343021931e-05, 3.0767743631996914e-05, 2.7269894640884947e-05, 2.7969894640884947e-05, 2.7210755044440157e-05, 2.807204564977298e-05, 2.9329034237329734e-05, 3.013118524621777e-05, 3.01537664568834e-05, 2.2210755044440157e-05, 2.5190324842662553e-05, 3.237204564977298e-05, 3.4892475851550584e-05, 3.288602282488649e-05, 3.288602282488649e-05, 3.138817383377452e-05, 3.138817383377452e-05, 3.149032484266255e-05, 3.119247585155058e-05, 2.1165592623108882e-05, 2.0406453026664096e-05, 2.7929034237329734e-05, 2.770860403555213e-05
13.0, 2.504955282591754e-05, 2.3467569673804132e-05, 2.5963966304226816e-05, 2.7249552825917544e-05, 2.667837978253609e-05, 2.677837978253609e-05, 2.5938742717185586e-05, 1.757477641295877e-05, 1.943153597803095e-05, 3.3353156195494856e-05, 2.8367569673804133e-05, 2.5342346086762905e-05, 2.587837978253609e-05, 2.515315619549486e-05, 2.662793260845363e-05, 2.7353156195494856e-05, 2.728198315211341e-05, 2.8217122499721678e-05, 1.9881983152113406e-05, 2.367477641295877e-05, 3.005315619549486e-05, 3.255315619549486e-05, 3.077117304338146e-05, 3.077117304338146e-05, 2.8571173043381458e-05, 2.8571173043381458e-05, 2.9089189891268046e-05, 2.9227932608453632e-05, 1.9592793260845362e-05, 1.9160362934649496e-05, 2.5567569673804133e-05, 2.5963966304226816e-05
7.24, 2.3658255882276857e-05, 2.2495639705692146e-05, 2.488520367626136e-05, 2.5847819852846072e-05, 2.5964331617399787e-05, 2.6064331617399786e-05, 2.420607573512293e-05, 1.6806075735122927e-05, 1.7547819852846074e-05, 3.198520367626136e-05, 2.7374767646830575e-05, 2.3820872058861574e-05, 2.513302352910743e-05, 2.381651176455372e-05, 2.4647819852846073e-05, 2.5995639705692146e-05, 2.6737383823415286e-05, 2.59269477939845e-05, 1.9316511764553718e-05, 2.2874767646830574e-05, 2.8653895587969e-05, 3.125825588227686e-05, 2.984345955853822e-05, 2.984345955853822e-05, 2.771651176455372e-05, 2.771651176455372e-05, 2.8591279411384286e-05, 2.7247819852846076e-05, 1.9295639705692146e-05, 1.8037383823415288e-05, 2.4553895587969003e-05, 2.490607573512293e-05
2.34, 2.3296064820855404e-05, 2.1599016205213855e-05, 2.3890162052138517e-05, 2.5392129641710812e-05, 2.48e-05, 2.4896064820855403e-05, 2.3389178257352366e-05, 1.6000983794786147e-05, 1.709409723128311e-05, 3.1003935179144594e-05, 2.6294097231283107e-05, 2.3987210667780068e-05, 2.3700983794786148e-05, 2.3094097231283107e-05, 2.4190162052138514e-05, 2.5097048615641556e-05, 2.6190162052138515e-05, 2.529114584692466e-05, 1.8601967589572298e-05, 2.1795081026069257e-05, 2.739704861564155e-05, 3.088130789906318e-05, 2.8495081026069257e-05, 2.8495081026069257e-05, 2.699311343649696e-05, 2.699311343649696e-05, 2.6805902768716893e-05, 2.6791145846924664e-05, 1.84e-05, 1.7498032410427702e-05, 2.330098379478615e-05, 2.409409723128311e-05
-1.95, 2.297621035836375e-05, 2.1519052589590938e-05, 2.3090525895909368e-05, 2.4752420716727494e-05, 2.48e-05, 2.4576210358363747e-05, 2.2509578485500304e-05, 1.6080947410409065e-05, 1.6614315537545623e-05, 3.132378964163625e-05, 2.581431553754562e-05, 2.2947683664682177e-05, 2.3780947410409066e-05, 2.261431553754562e-05, 2.3390525895909368e-05, 2.485715776877281e-05, 2.5390525895909366e-05, 2.457147330631843e-05, 1.8761894820818126e-05, 2.1395262947954684e-05, 2.715715776877281e-05, 2.9361999202227797e-05, 2.8095262947954685e-05, 2.8095262947954685e-05, 2.6433368127136555e-05, 2.6433368127136555e-05, 2.7285684462454377e-05, 2.607147330631843e-05, 1.84e-05, 1.7338105179181874e-05, 2.3380947410409063e-05, 2.361431553754562e-05
-5.8, 2.2794522349062007e-05, 2.134178352359301e-05, 2.29e-05, 2.46e-05, 2.495821647640699e-05, 2.4236305872655014e-05, 2.2616432952813986e-05, 1.6100000000000002e-05, 1.6605477650937996e-05, 3.097808939624802e-05, 2.5594522349062007e-05, 2.2910955301875988e-05, 2.3694522349062008e-05, 2.2552738825469e-05, 2.3252738825469e-05, 2.458904469812401e-05, 2.5041783523593008e-05, 2.4452738825468997e-05, 1.8536305872655014e-05, 2.1510955301875988e-05, 2.694178352359301e-05, 2.9105477650937994e-05, 2.7789044698124014e-05, 2.7789044698124014e-05, 2.6458216476406994e-05, 2.6458216476406994e-05, 2.713630587265501e-05, 2.5952738825468996e-05, 1.8294522349062006e-05, 1.756369412734499e-05, 2.355821647640699e-05, 2.35e-05
-9.39, 2.27e-05, 2.1180225561234333e-05, 2.2959323316297005e-05, 2.458022556123433e-05, 2.500112780617166e-05, 2.4039548877531338e-05, 2.2919774438765668e-05, 1.6198872193828343e-05, 1.6660451122468662e-05, 3.073842107135968e-05, 2.5618646632594012e-05, 2.3001127806171657e-05, 2.3540676683702997e-05, 2.2580225561234333e-05, 2.3240676683702996e-05, 2.44e-05, 2.4939548877531336e-05, 2.451977443876567e-05, 1.8398872193828343e-05, 2.1640676683702995e-05, 2.6977969948891017e-05, 2.92e-05, 2.7600000000000003e-05, 2.7600000000000003e-05, 2.650112780617166e-05, 2.650112780617166e-05, 2.69e-05, 2.6e-05, 1.82e-05, 1.7740676683702998e-05, 2.3739548877531337e-05, 2.351977443876567e-05
-12.86, 2.27e-05, 2.111523905483026e-05, 2.3154282835509227e-05, 2.4515239054830257e-05, 2.467619527415129e-05, 2.4169521890339482e-05, 2.2984760945169742e-05, 1.6523804725848713e-05, 1.6530478109660518e-05, 3.1193326616188195e-05, 2.6008565671018452e-05, 2.2676195274151288e-05, 2.3345717164490775e-05, 2.251523905483026e-05, 2.3045717164490775e-05, 2.44e-05, 2.5069521890339484e-05, 2.4584760945169743e-05, 1.8723804725848712e-05, 2.1445717164490773e-05, 2.756284850652768e-05, 2.92e-05, 2.7600000000000003e-05, 2.7600000000000003e-05, 2.6176195274151292e-05, 2.6176195274151292e-05, 2.69e-05, 2.6e-05, 1.82e-05, 1.7545717164490773e-05, 2.3869521890339485e-05, 2.3584760945169743e-05
-16.34, 2.2455007718318143e-05, 2.1246995369009115e-05, 2.3346995369009116e-05, 2.4646995369009113e-05, 2.4746995369009116e-05, 2.42e-05, 2.3097996912672743e-05, 1.6795993825345486e-05, 1.6989984563363715e-05, 3.1397996912672745e-05, 2.605100154366363e-05, 2.3040986107027343e-05, 2.3691987650690975e-05, 2.2646995369009116e-05, 2.3489984563363717e-05, 2.4742989194354603e-05, 2.5393990738018232e-05, 2.4746995369009116e-05, 1.8946995369009114e-05, 2.1840986107027344e-05, 2.794499228168186e-05, 2.9297996912672744e-05, 2.7991987650690974e-05, 2.7991987650690974e-05, 2.6491987650690972e-05, 2.6491987650690972e-05, 2.7046995369009114e-05, 2.6440986107027344e-05, 1.8689984563363716e-05, 1.774499228168186e-05, 2.414499228168186e-05, 2.384499228168186e-05
-19.98, 2.2473533443464202e-05, 2.152157041931742e-05, 2.369755193139081e-05, 2.4997551931390814e-05, 2.4991177814488067e-05, 2.4367159326561454e-05, 2.3519122350708235e-05, 1.71367667217321e-05, 1.7651963024146777e-05, 3.166715932656146e-05, 2.6197551931390812e-05, 2.3621570419317422e-05, 2.4327944536220172e-05, 2.3058337141049523e-05, 2.409117781448807e-05, 2.5221570419317423e-05, 2.5897551931390812e-05, 2.5219122350708233e-05, 1.9358337141049524e-05, 2.2497551931390814e-05, 2.8458337141049525e-05, 2.9521570419317423e-05, 2.8567159326561455e-05, 2.8567159326561455e-05, 2.6975981512073387e-05, 2.6975981512073387e-05, 2.7382355628976134e-05, 2.711274823380549e-05, 1.9321570419317422e-05, 1.81367667217321e-05, 2.4567159326561456e-05, 2.425196302414678e-05
-23.97, 2.373570349021124e-05, 2.208253488453833e-05, 2.4609119187374784e-05, 2.5909119187374785e-05, 2.5411901163403747e-05, 2.51384854662402e-05, 2.499165407191311e-05, 1.776785174510562e-05, 1.835316860567291e-05, 3.24384854662402e-05, 2.7109119187374787e-05, 2.418253488453833e-05, 2.5379752908509368e-05, 2.425038662964395e-05, 2.451190116340375e-05, 2.578253488453833e-05, 2.6809119187374783e-05, 2.6691654071913112e-05, 2.055038662964395e-05, 2.3409119187374785e-05, 2.965038662964395e-05, 3.0082534884538328e-05, 2.93384854662402e-05, 2.93384854662402e-05, 2.732658430283645e-05, 2.732658430283645e-05, 2.8223802326807494e-05, 2.809443604794208e-05, 1.988253488453833e-05, 1.876785174510562e-05, 2.5338485466240203e-05, 2.495316860567291e-05
