epoch_id,timestamp,break_v,break_E_eV,n_points,PA_bins,status,features,cone_half_width_deg,input_file,break_index,error_message
69,2022-03-02 13:14:09,436367064.3435909,54.135496286285,5052,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,4037.0,
70,2022-03-02 13:15:09,440645588.32254404,55.20228404601978,5087,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,4123.0,
71,2022-03-02 13:16:09,440931533.0255196,55.27395126651321,5165,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,4217.0,
72,2022-03-02 13:17:09,439887718.65647215,55.01256169072605,5101,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,4063.0,
73,2022-03-02 13:18:09,406956680.5221758,47.08413096239737,5294,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,3904.0,
74,2022-03-02 13:19:09,439764876.6740636,54.98184063051843,5209,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,4134.0,
75,2022-03-02 13:20:09,473408260.43325084,63.71619868764018,5276,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,4389.0,
76,2022-03-02 13:21:09,439823930.91002893,54.99660819732442,5168,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,4115.0,
77,2022-03-02 13:22:09,436401727.40129644,54.14409719371136,5138,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,4007.0,
78,2022-03-02 13:23:09,440902113.6163148,55.266575641862026,5170,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,4181.0,
79,2022-03-02 13:24:09,464831265.7141575,61.42835124149946,5375,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,4377.0,
80,2022-03-02 13:25:09,440144161.0587256,55.07672199815356,5490,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,4280.0,
81,2022-03-02 13:26:09,440737779.84082663,55.22538521798694,5268,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,4244.0,
82,2022-03-02 13:27:09,431183647.34144413,52.85703019429203,5238,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,4168.0,
