status,source_file,chunk_file,folder_name,epoch_id,time_stamp,redChiSqr,redChiSqr_beam,redChiSqr_halo,T_para_b,T_antiPara_b,component_energy_json,initial_core_n,initial_core_n_stderr,initial_core_u_par,initial_core_u_par_stderr,initial_core_v_th_par,initial_core_v_th_par_stderr,initial_core_v_th_perp,initial_core_v_th_perp_stderr,initial_halo_n,initial_halo_n_stderr,initial_halo_u_par,initial_halo_u_par_stderr,initial_halo_v_th_par,initial_halo_v_th_par_stderr,initial_halo_v_th_perp,initial_halo_v_th_perp_stderr,initial_halo_kappa,initial_halo_kappa_stderr,initial_beamAntiPar_n,initial_beamAntiPar_n_stderr,initial_beamAntiPar_u_par,initial_beamAntiPar_u_par_stderr,initial_beamAntiPar_v_th_par,initial_beamAntiPar_v_th_par_stderr,initial_beamAntiPar_v_th_perp,initial_beamAntiPar_v_th_perp_stderr,initial_beamAntiPar_kappa,initial_beamAntiPar_kappa_stderr,final_n_c,final_u_par_c,final_v_th_par_c,final_v_th_perp_c,final_n_b,final_u_par_b,final_v_th_par_b,final_v_th_perp_b,final_kappa_b,final_n_h,final_u_par_h,final_v_th_par_h,final_v_th_perp_h,final_kappa_h,final_n_sc
success,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,results/fitting/example_run/data/chunks/FitResult_20220302121509_20220302122509.pkl,20220302121509_20220302122509,0,2022-03-02T12:15:09,0.9881292399860797,0.9429919606630045,0.3422676765534057,nan,16.491462026531277,"{""core"": [7.640583749039671, 47.80266356013586], ""halo"": [61.30901832053824, 2000], ""beam"": [56.30901832053824, 1000]}",14.714965732790466,0.1066910293203547,15371902.717210606,927040.8938385486,213846136.13613904,1731957.032999473,204070715.93739176,1363657.2845784952,3.838837432858403,0.19194187164292018,83873719.04544616,4193685.952272308,381300119.8035079,19065005.990175396,465137466.1138279,16647704.343741875,14.99999996925251,0.7499999984626256,0.2608229746035686,0.013041148730178432,-448389348.3646628,22419467.41823314,327586541.3568813,16379327.067844067,265710342.0494871,13285517.102474356,4,0.2,14.583715192713054,15743339.58822615,212765988.64873555,204350342.56041688,0.27383836858136007,-429400496.5937248,336142989.3671474,254028164.3180494,4.083725706413984,3.865874933877465,79680033.09317385,379506634.69144094,469389941.5869048,15.48606476109379,19.19418716430664
success,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,results/fitting/example_run/data/chunks/FitResult_20220302121509_20220302122509.pkl,20220302121509_20220302122509,1,2022-03-02T12:16:09,1.014093056111789,0.8267359863169916,0.29547111906259954,nan,17.20186363870441,"{""core"": [7.783652242660523, 55.92802422904968], ""halo"": [62.066399487682276, 2000], ""beam"": [57.066399487682276, 1000]}",14.870069891570486,0.10310631427730829,12614827.280341433,838403.4262022573,212611644.1007595,1603800.6409507906,204340725.54759145,1334862.0242499288,4.279659399112607,0.21398296995563035,83873719.04544616,4193685.952272308,403600561.91344154,20180028.09567208,471214696.3736205,16588607.046043957,14.999999734419383,0.7499999867209692,0.36098642414788484,0.018049321207394244,-446726864.76216066,22336343.238108035,350249041.03365964,17512452.051682983,332660370.7217033,16633018.536085166,4,0.2,14.833465482141182,12627749.517997827,211832079.004578,203897570.56335035,0.3674872586607711,-426394949.82712936,342361652.4221488,320995847.0680645,3.8180785239972144,4.360204978507426,79680033.09317385,402751359.911524,488006906.8812855,15.154962789344278,21.398298263549805
success,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,results/fitting/example_run/data/chunks/FitResult_20220302121509_20220302122509.pkl,20220302121509_20220302122509,2,2022-03-02T12:17:09,0.9486271843016681,0.8839367012056166,0.24311685457979101,nan,19.87856163264363,"{""core"": [7.754522198983027, 47.91660201007922], ""halo"": [61.37760927221967, 2000], ""beam"": [56.37760927221967, 1000]}",14.670281296366358,0.10280807809461906,12345182.783955699,874898.027691162,204586320.67059946,1626673.6778607573,204083664.18614876,1375207.7017537386,4.276838684042321,0.21384193420211606,83873719.04544616,4193685.952272308,396304994.3618272,19815249.71809136,470247686.9726687,13892046.504306423,14.999999928492645,0.7499999964246323,0.3098199183366533,0.015490995916832666,-442153959.322504,22107697.9661252,383803024.5980937,19190151.229904685,392893789.8547321,19644689.492736604,4,0.2,14.651705139725394,11986942.258001622,202141913.17328262,203919463.35693154,0.3108341300258759,-456515422.4251578,368012858.1924452,389414120.80533224,3.805454351238606,4.356211830444462,79680033.09317385,415916515.8555014,468747214.2737424,15.010449914353266,21.384193420410156
success,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,results/fitting/example_run/data/chunks/FitResult_20220302121509_20220302122509.pkl,20220302121509_20220302122509,3,2022-03-02T12:18:09,0.9182538893703255,0.8455354394711034,0.318455357419509,nan,18.16848097018103,"{""core"": [7.634903106689453, 55.77927509307861], ""halo"": [62.5140899427964, 2000], ""beam"": [57.5140899427964, 1000]}",14.37563326750077,0.09757413093988196,13413270.864338545,857294.9067266355,211407820.22274375,1603200.9752990892,203620348.51326156,1288124.7891276933,4.2776973697161145,0.21388486848580573,83873719.04544616,4193685.952272308,378314601.35399187,18915730.067699593,475305348.66134286,15951394.59415424,14.999999996239481,0.7499999998119741,0.21085028237806716,0.010542514118903359,-448452681.7285758,22422634.08642879,370557213.754454,18527860.6877227,302868201.1459779,15143410.057298897,4,0.2,14.427785381420179,13223790.25092473,211601081.95527261,201409824.7857836,0.2056632291287633,-460609844.2148575,352085174.57898873,308627805.0397205,3.876737417472189,3.8813811127796867,79680033.09317385,405541644.84106886,476329908.19805455,15.089379647323334,21.388486862182617
success,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,results/fitting/example_run/data/chunks/FitResult_20220302121509_20220302122509.pkl,20220302121509_20220302122509,4,2022-03-02T12:19:09,0.8473792400758661,0.7214378497960195,0.39682890991017983,nan,25.962230428995557,"{""core"": [7.273291056810322, 47.435370867906514], ""halo"": [61.39200999123764, 2000], ""beam"": [56.39200999123764, 1000]}",13.222915655533368,0.0985032283842906,15623920.48688057,930655.700769264,203779286.98590553,1718018.2099345105,206037612.62549245,1380335.4213731016,3.540001678274669,0.17700008391373345,83873719.04544616,4193685.952272308,381316993.71043897,19065849.68552195,470293684.689819,20700901.633210387,14.999999985872217,0.7499999992936108,0.37839347191170497,0.01891967359558525,-443106801.9023768,22155340.09511884,429314122.2651677,21465706.113258388,365048848.69432753,18252442.434716377,4,0.2,13.360578771945983,15300537.664531292,201021131.13291514,205654757.66499463,0.3887066884493598,-442112659.5712114,420600989.78997964,382387235.31062365,3.800102396105483,3.367429475992452,79680033.09317385,387661251.57152283,480118667.6082026,14.964055939322677,17.700008392333984
success,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,results/fitting/example_run/data/chunks/FitResult_20220302121509_20220302122509.pkl,20220302121509_20220302122509,5,2022-03-02T12:20:09,0.8772197854580015,0.7730530527914338,0.5003428057753065,nan,15.043820490464881,"{""core"": [7.364557201087596, 47.526637012183784], ""halo"": [59.93988288160823, 2000], ""beam"": [54.93988288160823, 1000]}",13.44561589363254,0.0994627585287399,15054265.31657188,969923.4668077797,206585127.6822027,1776037.3169222525,200871818.8731407,1336292.924296816,3.742461013767203,0.18712305068836016,83873719.04544616,4193685.952272308,369079302.29784316,18453965.11489216,429078608.86124194,18745939.607330747,14.999999992822609,0.7499999996411305,0.3390964446504391,0.016954822232521954,-439965932.07776666,21998296.603888333,337333891.5106695,16866694.575533476,379843926.3227773,18992196.316138864,4,0.2,13.4139309279716,14184069.283763364,205828614.49460638,198704183.16285068,0.35553077283476736,-437788828.4219944,320526817.37731194,390682682.810503,3.9195294008373054,3.4802728078803273,79680033.09317385,357263753.20384526,442808439.28273606,15.140854911611186,18.712305068969727
success,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,results/fitting/example_run/data/chunks/FitResult_20220302121509_20220302122509.pkl,20220302121509_20220302122509,6,2022-03-02T12:21:09,0.812701673322832,0.6969518523771913,0.43642228879076295,nan,11.792666446933241,"{""core"": [7.226809316635132, 47.388889127731325], ""halo"": [60.41955305724947, 2000], ""beam"": [55.41955305724947, 1000]}",13.024715568095734,0.09871464310300547,16781269.551586542,979101.2997595142,205467144.02111506,1772364.605843416,202290101.10253322,1364111.0325418497,3.5162763453056765,0.17581381726528383,83873719.04544616,4193685.952272308,394343395.11708546,19717169.755854275,474592127.26862174,22053987.995765366,14.999999999711044,0.7499999999855522,0.4595020421134057,0.022975102105670286,-440067959.4082445,22003397.970412225,290829044.8593592,14541452.242967961,379764731.6076056,18988236.58038028,4,0.2,13.09141542200059,17737688.43198645,202045725.99456874,200292094.6268138,0.4532269018751347,-421332129.1118245,284554496.19392973,396762195.91970783,4.1999949062966735,3.352934472255218,79680033.09317385,413596221.97689605,479398085.1379509,15.388486958138492,17.62002182006836
success,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,results/fitting/example_run/data/chunks/FitResult_20220302121509_20220302122509.pkl,20220302121509_20220302122509,7,2022-03-02T12:22:09,0.8901123750723184,0.7461025035778335,0.466878558924301,nan,27.019691511284996,"{""core"": [7.3703074618990785, 47.53238727299527], ""halo"": [59.714615555797735, 2000], ""beam"": [54.714615555797735, 1000]}",13.43063823298519,0.09855310672789949,13094314.763439674,942747.8725577497,202270016.66451848,1709661.339465919,201805403.15801704,1366212.6764188292,3.768128204325297,0.18840641021626486,83873719.04544616,4193685.952272308,364652815.1213178,18232640.75606589,440735555.37650853,20751014.342497405,14.99999989195998,0.749999994597999,0.42531107078073294,0.021265553539036648,-436065160.06120676,21803258.00306034,433296586.29969853,21664829.31498493,423651641.73981637,21182582.08699082,4,0.2,13.483634551000655,13741861.278858542,201750048.54559517,204008069.1160058,0.44495417093303047,-427045723.4333032,429113081.5032161,425752398.5818099,3.8022245719574252,3.5257221778726304,79680033.09317385,372031324.59557754,472000962.3344007,15.112503607665824,18.840641021728516
success,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,results/fitting/example_run/data/chunks/FitResult_20220302121509_20220302122509.pkl,20220302121509_20220302122509,8,2022-03-02T12:23:09,0.913819957674942,0.8127649247838109,0.4324725080070559,nan,20.49325753704798,"{""core"": [7.448682238010561, 47.610762049106754], ""halo"": [57.99574027593066, 2000], ""beam"": [52.99574027593066, 1000]}",13.791783716005158,0.09963556819320929,14069635.309390428,930236.6131543583,203295144.91959202,1712909.8342384908,201770275.36307633,1339578.6711270884,3.8022556304609756,0.19011278152304878,83873719.04544616,4193685.952272308,351516245.5835521,17575812.279177606,443141198.4565078,21843332.33588604,14.999999921729122,0.7499999960864562,0.2833836141309281,0.014169180706546406,-433664613.4137174,21683230.670685872,357422004.49123436,17871100.224561717,347576911.578056,17378845.5789028,4,0.2,13.975486125881105,13968668.778796624,202362424.1426623,203224021.62960204,0.2695749866778541,-430823769.70792127,374808796.25500673,331490435.20673764,4.105773334671166,3.770581145156282,79680033.09317385,377284235.8412332,480874278.4143396,15.45320274029567,19.01127815246582
success,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,results/fitting/example_run/data/chunks/FitResult_20220302121509_20220302122509.pkl,20220302121509_20220302122509,9,2022-03-02T12:24:09,0.9452272378519277,0.7959175225141345,0.4834308723733248,nan,27.86198649752645,"{""core"": [7.474216737163349, 47.63629654825954], ""halo"": [57.733115022034085, 2000], ""beam"": [52.733115022034085, 1000]}",13.828553259736088,0.10016570001617707,12729110.315321168,937767.2716093292,202680461.62479985,1704761.9884548015,202594981.54806137,1350289.590849489,3.948167419397675,0.19740837096988376,83873719.04544616,4193685.952272308,368460961.1282837,18423048.056414183,431656036.46501344,18660814.024524674,14.99999999979023,0.7499999999895115,0.27233110630124807,0.013616555315062404,-428645896.7327523,21432294.836637616,420915609.80208224,21045780.490104113,319355558.6934767,15967777.934673835,4,0.2,13.896173882131269,11850861.940584466,202325785.2063413,202280202.16374105,0.2853291905573699,-409048003.54246455,436391789.85149384,315587621.09149355,3.944832664659669,3.8117385482534742,79680033.09317385,385219591.29881525,413215965.0522135,14.648585660373415,19.74083709716797
